bid_date,constraints ,DA_mvalue,RT_mvalue,location,physical_condition,outage_name,start_date,end_date,wind,reserve_zone,today's wind,opportunity
5/28/2026,lnjarb-166thstr,0.0,-6898.0,KCPL,high wind,"Midland Junction - Pentagon 115 kV, 6/19/2026",3/9,6/19,high,,,
5/28/2026,lnpayne_wf-paoli2,-3800.0,-7500.0,South OKGE,high wind,"Johnston County - Sunnyside 345kV, 6/2/2026, +20 MW",1/9,6/5,high,"3,4",,
5/29/2026,lnfirstcrk-roanrdge,-1000.0,-7000.0,Near Kansa City,"RT binds more in 13-14, 22-24, DA binds more on 13-21","Hallmark MPS - Liberty West 161 kV, 5/19-6-16, +31 MW",5/19,6/16,high,4,"1: ow: 44, fw: 21, ol: 92, fl: 92
2: ow: 45, fw: 4, ol: 96, fl: 76
3: ow: 40, fw: 36, ol: 87, fl: 97
4: ow: 22, fw: 7, ol: 94, fl: 88
5: ow: 86, fw: 61, ol: 47, fl: 21",
5/29/2026,lnhuron-hurontap,-200.0,-2700.0,East of South Dakota,DA binds more during hour 11-17 and RT binds more on 18-22,"Hay Creek - North Bismark 115 kv, 5/26-6/5, +22 MW ",5/26,6/5,,5,,
5/29/2026,lncorntp4-naples1,-1331.0,-3600.0,South OKGE,high wind driven,"Johnston County - Sunnyside 345kV, 6/2/2026, +20 MW",1/9,6/5,high,"3,4",,
5/29/2026,xfmrsiouxcy-siouxcy,-2068.0,0.0,Sioux City Nebraska,high wind driven,,,,high,1,,
5/29/2026,lnpaoli2-lexngt2_rev23,-1976.0,0.0,South OKGE,"high wind from reserve zone 3,4 ","Johnston County - Sunnyside 345kV, 6/2/2026, +20 MW",1/9,6/5,high,"3,4",,
5/29/2026,ln70_bluf-sub1214,-1880.0,0.0,Right at Lincoln OPPD,high wind driven,S3455 - S3740 345 kV,10/23,12/18,high,4,,
5/29/2026,lnsnrpmpt4-osage_og,0.0,-1500.0,"North OKGE, near Tulsa","RT binds more during hour11-14, 18-22","Morrison - Sooner 138 kV, 5/7-6/30, +42MW",5/7,6/30,,4,,
5/29/2026,lnwardwa-bismark2,-2147.0,-1500.0,"Bismark, ND ",RT happens when low wind and lwg high,"Hay Creek - North Bismark 115 kv, 5/26-6/5, +22 MW ",5/26,6/5,,5,,
5/30/2026,lnosage_og-webbtap4,-2885.0,-12020.0,"North Texas, near Tulsa",hgih wind driven,"Morrison - Sooner 138 kV, 5/7-6/30, +42MW",5/7,6/30,high,"3,4","1: ow: 74, fw: 30, ol: 90, fl: 72
2: ow: 68, fw: 58, ol: 93, fl: 50
3: ow: 54, fw: 73, ol: 97, fl: 98
4: ow: 60, fw: 40, ol: 97, fl: 93
5: ow: 91, fw: 82, ol: 43, fl: 11",new
5/30/2026,lnfirstcrk-roanrdge,-4167.0,-8685.0,Near Kansa City,"RT binds more in 13-14, 22-24, DA binds more on 13-21","Hallmark MPS - Liberty West 161 kV, 5/19-6-16, +31 MW",5/19,6/16,high,4,,5/29/2026
5/30/2026,lnpayne_wf-paoli2,-5107.0,-1681.0,South OKGE,high wind,"Johnston County - Sunnyside 345kV, 6/2/2026, +20 MW",1/9,6/5,high,"3,4",,5/28/2026
5/30/2026,lnraun-tekamho,-2310.0,-5725.0,Sioux City Nebraska,high wind driven,,,,high,1,,new
5/30/2026,lncorntp4-naples1,-4119.0,-6805.0,South OKGE,high wind driven,"Johnston County - Sunnyside 345kV, 6/2/2026, +20 MW",1/9,6/5,high,"3,4",,5/29/2026
5/30/2026,lnquail-skyln,-1725.0,0.0,North OKC,"high wind, DA binds when wind's high, RT occasionally binds. ","Johnston County - Sunnyside 345kV, 6/2/2026, +20 MW",1/9,6/5,high,4,,new
5/30/2026,lngracmont-anadarko,-2617.0,-2593.0,"Near SPS, South WFEC",high wind driven,"Lawton Eastside - Oklaunion 345 kV, 4/6-6/24, +100",4/6,6/4,high,"3,2",,new
5/31/2026,lnfirstcrk-roanrdge,-4902.0,-144.0,Near Kansa City,"RT binds more in 13-14, 22-24, DA binds more on 13-21","Hallmark MPS - Liberty West 161 kV, 5/19-6-16, +31 MW",5/19,6/16,high,4,"1: ow: 32, fw: 55, ol: 90, fl: 59
2: ow: 13, fw: 53, ol: 94, fl: 61
3: ow: 22, fw: 20, ol: 100, fl: 90
4: ow: 34, fw: 56, ol: 100, fl: 90
5: ow: 61, fw: 69, ol: 42, fl: 13",5/30/2026
5/31/2026,lnosage_og-webbtap4,-2975.0,-6776.0,"North Texas, near Tulsa",hgih wind driven,"Morrison - Sooner 138 kV, 5/7-6/30, +42MW",5/7,6/30,high,"3,4",,5/30/2026
5/31/2026,lnraun-tekamho,0.0,-3026.0,Sioux City Nebraska,high wind driven,,,,high,1,,5/30/2026
5/31/2026,lnpayne_wf-paoli2,-2215.0,0.0,South OKGE,high wind,"Johnston County - Sunnyside 345kV, 6/2/2026, +20 MW",1/9,6/5,high,"3,4",,5/30/2026
5/31/2026,lncorntp4-naples1,-2177.0,-3623.0,South OKGE,high wind driven,"Johnston County - Sunnyside 345kV, 6/2/2026, +20 MW",1/9,6/5,high,"3,4",,5/30/2026
5/31/2026,lnwardwa-bismark2,0.0,-1253.0,"Bismark, ND ",RT happens when low wind and lwg high,"Hay Creek - North Bismark 115 kv, 5/26-6/5, +22 MW ",5/26,6/5,,5,,5/29/2026
5/31/2026,lnrussett-sbrown,-1469.0,-1820.0,South OKGE,"binds high wind, no obvious outage nearby ",,,,high,"3,4",,new
5/31/2026,lngracmont-anadarko,-932.0,-1200.0,"Near SPS, South WFEC",high wind driven,"Lawton Eastside - Oklaunion 345 kV, 4/6-6/24, +100",4/6,6/4,high,"3,2",,5/30/2026
6/1/2026,lnweav-tallgras,-348.0,-5266.0,"Wichita, Kansas ","binds in DA in two days only, flow not close to limit ","East Eureka - Vaughn 115 kV, +12MW ",2026-05-31 2:17,2026-05-31 2:17,,4,"1: ow: 13, fw: 11, ol: 98, fl: 95
2: ow: 57, fw: 32, ol: 100, fl: 95
3: ow: 38, fw: 48, ol: 100, fl: 98
4: ow: 17, fw: 19, ol: 100, fl: 97
5: ow: 28, fw: 53, ol: 75, fl: 11",new
6/1/2026,lnmulgre2-ellswtp3,0.0,-2423.0,,,,,,,,,new
6/1/2026,lngord-maiz,-444.0,-2475.0,"Wichita, Kansas ",high wind plus small outage,"Walters City (OMPA) - Walters Junction 69 kV, +10 ",2026-05-26 7:32,2026-06-05 15:00,high,4,,new
6/1/2026,lnpoynter-hendersn,0.0,-1836.0,,,,,,,,,new
6/1/2026,xfmrsiouxcy-siouxcy,-1566.0,0.0,Sioux City Nebraska,high wind driven,,,,high,1,,5/29/2026
6/1/2026,xfmrsub975-sub975,-1501.0,0.0,South of Omaha,"low wind and high natural gas generation, RT binds at 19:00",,,,low,1,,new
6/1/2026,lnlenexa-shwnmsn5,-1375.0,0.0,Kansas City,high wind plus outage driven,"Kenilworth - Reeder 161 kV, +47",2026-05-04 9:15,2026-06-05 16:00,high,4,,new
6/1/2026,lnwardwa-bismark2,-217.0,-1477.0,"Bismark, ND ",RT happens when low wind and lwg high,"Hay Creek - North Bismark 115 kv, 5/26-6/5, +22 MW ",5/26,6/5,,5,,5/31/2026
6/1/2026,lnmaud_tap-earlsbrh,-1096.0,0.0,"West of OKC, near Norman",high wind plus outage for 138kv,Canadian River 345/138 kV Transformer,2026-04-17 8:56,2026-08-14 16:00,high,4,,new
6/1/2026,xfmrduncan-duncan,-1791.0,-748.0,"South OKGE, Lawton ",high load driven ,Walters City (OMPA) - Walters Junction 69 kV,2026-06-16 8:00,2026-06-16 16:00,,2,,new
6/1/2026,xfmrseminole-seminole,-185.0,-1215.0,South OKC ,high load and high wind driven,Seminole OKGE 345/138 kV XFMR #2,2026-05-27 9:00,2026-06-18 15:30,high ,4,,new
6/1/2026,lncorntp4-naples1,-1578.0,-2040.0,South OKGE,high wind driven,"Johnston County - Sunnyside 345kV, 6/2/2026, +20 MW",1/9,6/5,high,"3,4",,5/31/2026
6/1/2026,xfmrlaw_es-law_es,-779.0,-1159.0,Lawton ,"high load plus outage, high wind also ","Sunnyside - Terry Road 345 kV, +59",2026-05-07 15:42,2026-06-02 16:00,high,"3,4",,new
6/1/2026,xfmrnowst1-nowst1,-1144.0,-862.0,OKC,high load plus mid high wind ,,,,mid-high,4,,new
6/2/2026,xfmrduncan-duncan,0.0,-11233.0,"South OKGE, Lawton ","high load driven, ng generation up ",Walters City (OMPA) - Walters Junction 69 kV,2026-06-16 8:00,2026-06-16 16:00,,2,"1: ow: 39, fw: 23, ol: 95, fl: 97
2: ow: 51, fw: 53, ol: 95, fl: 92
3: ow: 51, fw: 44, ol: 91, fl: 100
4: ow: 30, fw: 33, ol: 97, fl: 95
5: ow: 57, fw: 57, ol: 81, fl: 11",6/1/2026
6/2/2026,lnfulton_c-pat_wx,0.0,-2785.0,,"Load high, wind mid ",,,,mid ,,,new
6/2/2026,lnosage_og-webbtap4,-2168.0,-262.0,"North Texas, near Tulsa",hgih wind driven,"Morrison - Sooner 138 kV, 5/7-6/30, +42MW",5/7,6/30,high,"3,4",,5/31/2026
6/2/2026,lnnwtexar-nnewbos,-52.0,-1819.0,,outage driven ,Lydia - Welsh 345 kV,2026-05-18 8:00:00,2026-06-03 16:00,,,,new
6/2/2026,lnmaud_tap-earlsbrh,-1352.0,0.0,"West of OKC, near Norman",high wind plus outage for 138kv,Canadian River 345/138 kV Transformer,2026-04-17 8:56,2026-08-14 16:00,high,4,,6/1/2026
6/2/2026,ln70_bluf-sub1214,0.0,-1168.0,Right at Lincoln OPPD,high wind driven,S3455 - S3740 345 kV,10/23,12/18,high,4,,5/29/2026
6/2/2026,xfmrsiouxcy-siouxcy,-1080.0,0.0,Sioux City Nebraska,high wind driven,,,,high,1,,6/1/2026
6/2/2026,lnweav-tallgras,-1496.0,-477.0,"Wichita, Kansas ","binds in DA in two days only, flow not close to limit ","East Eureka - Vaughn 115 kV, +12MW ",2026-05-31 2:17,2026-05-31 2:17,,4,,6/1/2026
6/2/2026,lnfirstcrk-roanrdge,-2362.0,-1606.0,Near Kansa City,"RT binds more in 13-14, 22-24, DA binds more on 13-21","Hallmark MPS - Liberty West 161 kV, 5/19-6-16, +31 MW",5/19,6/16,high,4,,5/31/2026
6/2/2026,xfmrelk-city-elk-city,-372.0,-937.0,,,,,,,,,new
6/2/2026,lncorntp4-naples1,-913.0,-479.0,South OKGE,high wind driven,"Johnston County - Sunnyside 345kV, 6/2/2026, +20 MW",1/9,6/5,high,"3,4",,6/1/2026
6/3/2026,lnfirstcrk-roanrdge,-2442.0,-100.0,Near Kansa City,"RT binds more in 13-14, 22-24, DA binds more on 13-21","Hallmark MPS - Liberty West 161 kV, 5/19-6-16, +31 MW",5/19,6/16,high,4,"1: ow: 65, fw: 59, ol: 94, fl: 91
2: ow: 46, fw: 23, ol: 96, fl: 55
3: ow: 14, fw: 10, ol: 70, fl: 22
4: ow: 29, fw: 29, ol: 89, fl: 87
5: ow: 49, fw: 47, ol: 93, fl: 26",6/2/2026
6/3/2026,lntoyne_cb-carlntcb,0.0,-1407.0,,,,,,,,,new
6/3/2026,lnweav-tallgras,-1346.0,0.0,"Wichita, Kansas ","binds in DA in two days only, flow not close to limit ","East Eureka - Vaughn 115 kV, +12MW ",2026-05-31 2:17,2026-05-31 2:17,,4,,6/2/2026
6/3/2026,lngord-maiz,-1413.0,-92.0,"Wichita, Kansas ",high wind plus small outage,"Walters City (OMPA) - Walters Junction 69 kV, +10 ",2026-05-26 7:32,2026-06-05 15:00,high,4,,6/1/2026
6/3/2026,xfmrduncan-duncan,-1616.0,-532.0,"South OKGE, Lawton ","high load driven, ng generation up ",Walters City (OMPA) - Walters Junction 69 kV,2026-06-16 8:00,2026-06-16 16:00,,2,,6/2/2026
6/3/2026,lnmoore_co-rbfaria,0.0,-1004.0,,,,,,,,,new
6/4/2026,lnweav-tallgras,-2885.0,0.0,"Wichita, Kansas ","binds in DA in two days only, flow not close to limit ","East Eureka - Vaughn 115 kV, +12MW ",2026-05-31 2:17,2026-05-31 2:17,,4,,6/3/2026
6/4/2026,lnosage_og-webbtap4,-2823.0,0.0,"North Texas, near Tulsa",hgih wind driven,"Morrison - Sooner 138 kV, 5/7-6/30, +42MW",5/7,6/30,high,"3,4",,6/2/2026
6/4/2026,xfmrduncan-duncan,-2462.0,0.0,"South OKGE, Lawton ","high load driven, ng generation up ",Walters City (OMPA) - Walters Junction 69 kV,2026-06-16 8:00,2026-06-16 16:00,,2,,6/3/2026
6/4/2026,lnaur1241-rdspg5,-1922.0,0.0,,,,,,,,,new
6/4/2026,lnnwtexar-nnewbos,-1825.0,0.0,,outage driven ,Lydia - Welsh 345 kV,2026-05-18 8:00:00,2026-06-03 16:00,,,,6/2/2026
6/4/2026,lnmidi-butl,-1624.0,0.0,,,,,,,,,new
6/4/2026,xfmrsub975-sub975,-1561.0,0.0,South of Omaha,"low wind and high natural gas generation, RT binds at 19:00",,,,low,1,,6/1/2026
6/4/2026,lnlenexa-shwnmsn5,-1331.0,0.0,Kansas City,high wind plus outage driven,"Kenilworth - Reeder 161 kV, +47",2026-05-04 9:15,2026-06-05 16:00,high,4,,6/1/2026
6/4/2026,lngord-maiz,-987.0,0.0,"Wichita, Kansas ",high wind plus small outage,"Walters City (OMPA) - Walters Junction 69 kV, +10 ",2026-05-26 7:32,2026-06-05 15:00,high,4,,6/3/2026
6/4/2026,lnrussett-sbrown,-919.0,0.0,South OKGE,"binds high wind, no obvious outage nearby ",,,,high,"3,4",,5/31/2026
6/4/2026,,,,,,,,,,,"1: ow: 62, fw: 56, ol: 92, fl: 90
2: ow: 78, fw: 44, ol: 95, fl: 66
3: ow: 30, fw: 11, ol: 77, fl: 12
4: ow: 54, fw: 35, ol: 92, fl: 82
5: ow: 9, fw: 10, ol: 89, fl: 35",
